2021-08-01 13:55:43 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://6con02.com/_data/cuadernos/cuad_verano_2eso.pdf
2021-08-01 13:55:44 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ambitocientificotecnologico-diversificacion/ambitocientificotecnologico-diversificacion-curriculo
2021-08-01 13:55:44 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:55:44 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/bachillerato/ampliacion-fisica-quimica-1-bachillerato
2021-08-01 13:55:44 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:55:44 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.bocm.es/boletin/CM_Orden_BOCM/2017/06/27/BOCM-20170627-15.PDF
2021-08-01 13:55:44 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/bachillerato/desarrollo-experimental-2-bachillerato
2021-08-01 13:55:44 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:55:44 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.madrid.org/es/transparencia/normativa/proyecto-orden-consejeria-educacion-e-investigacion-que-se-aprueban-materias-libre-1
2021-08-01 13:55:46 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.bocm.es/boletin/CM_Orden_BOCM/2018/06/14/BOCM-20180614-16.PDF
2021-08-01 13:55:47 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/bachillerato/mecanica-2-bachillerato
2021-08-01 13:55:47 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:55:47 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.boe.es/diario_boe/txt.php?id=BOE-A-2004-2972
2021-08-01 13:55:48 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.sc.ehu.es/sbweb/ocw-fisica/problemas/problemas.xhtml#solido
